phi,ratio,theta,sigma_s,seed,horizon,horizon_from,horizon_predicted,stopped_at,copies_per_genome,silenced_fraction,extinct,saturated,saturation_generation,entries_per_genome,captures,mean_abs_s,max_abs_entry,hash
0.0453,2.00,0.1,0.05,4010,1000,005-oracle,0.00,310,1528.470000,0.504419,0,1,310,93.806667,21935,3.262040,8.519141,55c26781
0.0453,3.33,0.1,0.03,4001,1000,005-oracle,0.00,323,1511.476667,0.336847,0,1,323,74.000000,14460,2.025705,5.290943,c90dfb86
0.0453,3.33,0.1,0.03,4002,1000,005-oracle,0.00,354,1588.630000,0.433902,0,1,354,76.093333,15118,2.143176,5.128444,d682cb59
0.0453,3.33,0.1,0.03,4003,1000,005-oracle,0.00,367,1500.600000,0.390106,0,1,367,64.000000,12202,1.770968,6.080676,c09e8e05
0.0453,3.33,0.1,0.03,4004,1000,005-oracle,0.00,326,1652.546667,0.169435,0,1,326,65.160000,13689,1.936080,5.292995,5f82c010
0.0453,3.33,0.1,0.03,4005,1000,005-oracle,0.00,361,1631.500000,0.279726,0,1,361,76.000000,14719,2.093168,5.639568,ed39a9d2
0.0453,3.33,0.1,0.03,4006,1000,005-oracle,0.00,341,1658.196667,0.401064,0,1,341,73.076667,14148,1.980817,5.486188,68446db3
0.0453,3.33,0.1,0.03,4007,1000,005-oracle,0.00,343,1635.066667,0.254705,0,1,343,77.000000,14669,2.131768,5.471100,afe2a391
0.0453,3.33,0.1,0.03,4008,1000,005-oracle,0.00,321,1664.906667,0.218617,0,1,321,69.000000,14320,1.944570,4.901364,333b0157
0.0453,3.33,0.1,0.03,4009,1000,005-oracle,0.00,387,1552.173333,0.238055,0,1,387,78.000000,14297,2.031250,5.250166,efd3501a
0.0453,3.33,0.1,0.03,4010,1000,005-oracle,0.00,363,1596.436667,0.343016,0,1,363,73.823333,14507,2.098592,5.229837,cf98f4f1
0.0453,5.00,0.1,0.02,4001,1000,005-oracle,0.00,413,1689.536667,0.404928,0,1,413,64.010000,10545,1.450554,3.848597,5c0d0880
0.0453,5.00,0.1,0.02,4002,1000,005-oracle,0.00,395,1619.260000,0.107434,0,1,395,45.003333,9069,1.208847,3.749894,2aaf34c4
0.0453,5.00,0.1,0.02,4003,1000,005-oracle,0.00,406,1798.286667,0.098848,0,1,406,51.020000,10139,1.392028,3.857041,75416e3a
0.0453,5.00,0.1,0.02,4004,1000,005-oracle,0.00,388,1607.963333,0.146388,0,1,388,60.000000,10004,1.344289,4.231281,9b5dc98a
0.0453,5.00,0.1,0.02,4005,1000,005-oracle,0.00,379,1631.863333,0.166509,0,1,379,56.000000,10038,1.349849,4.364156,c2f9ff70
0.0453,5.00,0.1,0.02,4006,1000,005-oracle,0.00,368,1831.260000,0.114307,0,1,368,48.183333,10078,1.286057,3.866419,86c37c3f
0.0453,5.00,0.1,0.02,4007,1000,005-oracle,0.00,392,1845.926667,0.109885,0,1,392,56.153333,10498,1.431402,4.045025,953f088f
0.0453,5.00,0.1,0.02,4008,1000,005-oracle,0.00,437,1599.516667,0.146571,0,1,437,56.043333,9991,1.349859,4.159480,e36d4eb6
0.0453,5.00,0.1,0.02,4009,1000,005-oracle,0.00,397,1562.620000,0.158373,0,1,397,53.003333,10301,1.325588,3.727849,3f9c8469
0.0453,5.00,0.1,0.02,4010,1000,005-oracle,0.00,410,1746.150000,0.109987,0,1,410,55.013333,10535,1.380290,4.089391,45673349
