phi,ratio,theta,sigma_s,seed,horizon,horizon_from,horizon_predicted,stopped_at,copies_per_genome,silenced_fraction,extinct,saturated,saturation_generation,entries_per_genome,captures,mean_abs_s,max_abs_entry,hash
0.001,2.00,0.1,0.05,6001,27153,mechanism,10861.19,8975,1515.130000,0.380062,0,1,8975,4255.090000,970419,137.910809,306.364525,5772db03
0.001,2.00,0.1,0.05,6002,27153,mechanism,10861.19,10338,1695.676667,0.135946,0,1,10338,3958.000000,856911,127.204854,372.157733,99e502c1
0.001,2.00,0.1,0.05,6003,27153,mechanism,10861.19,8837,1512.120000,0.279394,0,1,8837,4184.100000,955001,135.553716,302.349073,bd77ff1c
0.001,2.00,0.1,0.05,6004,27153,mechanism,10861.19,9007,1519.350000,0.444326,0,1,9007,4262.436667,969015,137.540502,309.936468,8e12836a
0.001,2.00,0.1,0.05,6005,27153,mechanism,10861.19,6636,1605.363333,0.445731,0,1,6636,3196.043333,796580,108.864308,230.750236,a1cd7e67
0.001,2.00,0.1,0.05,6006,27153,mechanism,10861.19,9437,1630.293333,0.315013,0,1,9437,4426.073333,996300,141.628521,318.843275,3f89b46b
0.001,2.00,0.1,0.05,6007,27153,mechanism,10861.19,8594,1506.216667,0.464325,0,1,8594,4110.150000,947387,133.294786,294.328134,e93edf8f
0.001,2.00,0.1,0.05,6008,27153,mechanism,10861.19,8904,1574.256667,0.393028,0,1,8904,4186.476667,959807,135.613082,303.637191,35172954
0.001,2.00,0.1,0.05,6009,27153,mechanism,10861.19,8812,1613.563333,0.333465,0,1,8812,4191.263333,956956,135.128873,299.944656,eedfbba4
0.001,2.00,0.1,0.05,6010,27153,mechanism,10861.19,10469,1519.153333,0.411029,0,1,10469,4463.000000,1003242,143.898690,347.545285,9d660f61
0.0005,2.00,0.1,0.05,6001,54306,mechanism,21722.37,20186,1759.980000,0.212466,0,1,20186,8781.096667,1943870,278.217252,697.267869,979f793d
0.0005,2.00,0.1,0.05,6002,54306,mechanism,21722.37,17562,1579.800000,0.459771,0,1,17562,8319.273333,1926541,271.074579,599.523817,af9a2b0f
0.0005,2.00,0.1,0.05,6003,54306,mechanism,21722.37,19268,1638.916667,0.150941,0,1,19268,7967.003333,1763052,253.768244,689.455669,5fa16d6e
0.0005,2.00,0.1,0.05,6004,54306,mechanism,21722.37,17459,1533.260000,0.462716,0,1,17459,8381.116667,1918834,270.945401,601.125620,2b112b10
0.0005,2.00,0.1,0.05,6005,54306,mechanism,21722.37,16659,1517.196667,0.413792,0,1,16659,7952.206667,1852013,259.869661,572.643293,83574edc
0.0005,2.00,0.1,0.05,6006,54306,mechanism,21722.37,17546,1506.613333,0.393602,0,1,17546,8330.176667,1917704,269.781780,596.144915,5320f617
0.0005,2.00,0.1,0.05,6007,54306,mechanism,21722.37,21355,1578.760000,0.345564,0,1,21355,9170.000000,1996555,287.212840,734.713254,dfa9304d
0.0005,2.00,0.1,0.05,6008,54306,mechanism,21722.37,17706,1568.583333,0.344536,0,1,17706,8455.216667,1918686,272.167831,605.759249,1c4b973c
0.0005,2.00,0.1,0.05,6009,54306,mechanism,21722.37,18260,1523.696667,0.308432,0,1,18260,8649.023333,1954264,276.960220,618.970252,71b0c98a
0.0005,2.00,0.1,0.05,6010,54306,mechanism,21722.37,17382,1503.686667,0.385313,0,1,17382,8304.286667,1895756,267.871241,594.163579,1a5402fe
0.001,3.33,0.1,0.03,6001,30883,mechanism,12353.14,9848,0.000000,0.000000,1,0,NA,2512.000000,574031,76.223732,173.811479,e4a9fac8
0.001,3.33,0.1,0.03,6002,30883,mechanism,12353.14,10484,1646.890000,0.254927,0,1,10484,3228.190000,641187,88.866997,219.125165,23498ebd
0.001,3.33,0.1,0.03,6003,30883,mechanism,12353.14,9868,1546.433333,0.343056,0,1,9868,3032.026667,624319,85.638597,207.098542,781887d5
0.001,3.33,0.1,0.03,6004,30883,mechanism,12353.14,10147,1630.183333,0.321465,0,1,10147,3109.090000,633806,87.113810,210.609882,13c7750f
0.001,3.33,0.1,0.03,6005,30883,mechanism,12353.14,10078,1511.276667,0.141688,0,1,10078,3102.103333,629226,86.363998,211.248686,e82964ef
0.001,3.33,0.1,0.03,6006,30883,mechanism,12353.14,9499,1543.660000,0.217092,0,1,9499,2910.053333,615729,83.400493,198.787987,0294fc13
0.001,3.33,0.1,0.03,6007,30883,mechanism,12353.14,10123,1541.563333,0.229468,0,1,10123,3079.053333,629354,86.714792,209.611100,30279bd5
0.001,3.33,0.1,0.03,6008,30883,mechanism,12353.14,9700,1554.773333,0.430732,0,1,9700,3004.993333,621155,84.642259,204.039018,50158c38
0.001,3.33,0.1,0.03,6009,30883,mechanism,12353.14,10398,1531.933333,0.350024,0,1,10398,3203.576667,636527,87.992933,215.304732,81dd2ad3
0.001,3.33,0.1,0.03,6010,30883,mechanism,12353.14,10100,1568.666667,0.166411,0,1,10100,3121.026667,634231,87.007698,210.529580,4caf15f0
0.0005,3.33,0.1,0.03,6001,61766,mechanism,24706.29,22146,1638.000000,0.150971,0,1,22146,6120.036667,1245879,170.870045,458.663152,8a289f6b
0.0005,3.33,0.1,0.03,6002,61766,mechanism,24706.29,19851,1617.480000,0.298421,0,1,19851,6128.046667,1257123,171.906585,415.832561,57ed9757
0.0005,3.33,0.1,0.03,6003,61766,mechanism,24706.29,22595,1638.406667,0.159328,0,1,22595,6355.033333,1243483,170.857433,483.679256,3df34e30
0.0005,3.33,0.1,0.03,6004,61766,mechanism,24706.29,15576,0.000000,0.000000,1,0,NA,4352.000000,1043668,135.422655,297.501319,8ce4f947
0.0005,3.33,0.1,0.03,6005,61766,mechanism,24706.29,13074,0.000000,0.000000,1,0,NA,3927.000000,976154,125.548304,269.765155,67dbe578
0.0005,3.33,0.1,0.03,6006,61766,mechanism,24706.29,20009,1672.226667,0.619035,0,1,20009,6180.680000,1261797,172.872422,418.688445,3d97e1d6
0.0005,3.33,0.1,0.03,6007,61766,mechanism,24706.29,20176,1515.456667,0.322860,0,1,20176,6267.180000,1266474,173.769346,422.648457,c5bd175a
