phi,ratio,theta,sigma_s,seed,horizon,horizon_from,horizon_predicted,stopped_at,copies_per_genome,silenced_fraction,extinct,saturated,saturation_generation,entries_per_genome,captures,mean_abs_s,max_abs_entry,hash
0.0005,3.33,0.1,0.03,6008,61766,mechanism,24706.29,22545,1615.500000,0.133020,0,1,22545,5739.010000,1153319,158.825079,492.761648,dc1f300e
0.0005,3.33,0.1,0.03,6009,61766,mechanism,24706.29,23342,1796.850000,0.126529,0,1,23342,6242.023333,1250533,172.245710,481.186309,248e93a3
0.0005,3.33,0.1,0.03,6010,61766,mechanism,24706.29,21414,1658.373333,0.182729,0,1,21414,6238.053333,1249416,171.428035,453.567451,f2f0adab
0.001,5.00,0.1,0.02,6001,35007,mechanism,14002.59,11054,1585.783333,0.114129,0,1,11054,2426.006667,465584,60.435491,153.392068,6029866f
0.001,5.00,0.1,0.02,6002,35007,mechanism,14002.59,11813,1724.393333,0.171887,0,1,11813,2455.056667,465791,60.164476,165.149395,0ca40204
0.001,5.00,0.1,0.02,6003,35007,mechanism,14002.59,12104,1872.833333,0.264814,0,1,12104,2453.186667,464321,60.022793,166.610153,b3fff73b
0.001,5.00,0.1,0.02,6004,35007,mechanism,14002.59,10512,1690.636667,0.198953,0,1,10512,2271.093333,456731,58.424492,144.148226,8e0aa153
0.001,5.00,0.1,0.02,6005,35007,mechanism,14002.59,12333,1731.653333,0.116511,0,1,12333,2415.003333,455902,58.850510,173.267539,9e9524cd
0.001,5.00,0.1,0.02,6006,35007,mechanism,14002.59,12090,1755.123333,0.114404,0,1,12090,2428.000000,456578,58.941251,171.873516,2125a1ac
0.001,5.00,0.1,0.02,6007,35007,mechanism,14002.59,11987,1820.743333,0.113802,0,1,11987,2536.003333,468734,60.946207,165.604279,15448e6e
0.001,5.00,0.1,0.02,6008,35007,mechanism,14002.59,12163,1591.500000,0.141556,0,1,12163,1414.000000,245570,62.004927,177.999067,4383b669
0.001,5.00,0.1,0.02,6009,35007,mechanism,14002.59,12646,1861.436667,0.100190,0,1,12646,2583.000000,467766,60.957905,177.741176,e0f2518d
0.001,5.00,0.1,0.02,6010,35007,mechanism,14002.59,11594,1900.386667,0.123119,0,1,11594,2539.030000,474093,61.873372,160.469032,8a379eda
0.0005,5.00,0.1,0.02,6001,70013,mechanism,28005.18,22819,1767.563333,0.105220,0,1,22819,4786.013333,921010,118.463719,320.610181,2b94d763
0.0005,5.00,0.1,0.02,6002,70013,mechanism,28005.18,23895,1685.410000,0.104441,0,1,23895,4821.000000,915582,117.945064,337.476128,02530cd0
0.0005,5.00,0.1,0.02,6003,70013,mechanism,28005.18,22748,1747.163333,0.192663,0,1,22748,4996.146667,942842,121.972159,313.507576,b44652f2
0.0005,5.00,0.1,0.02,6004,70013,mechanism,28005.18,23903,1537.376667,0.126705,0,1,23903,5004.010000,933945,120.878242,336.047837,da66b81c
0.0005,5.00,0.1,0.02,6005,70013,mechanism,28005.18,70013,493.640000,0.742937,0,0,NA,4018.000000,873840,109.679247,266.568783,6036f311
0.0005,5.00,0.1,0.02,6006,70013,mechanism,28005.18,70013,573.090000,0.642627,0,0,NA,4574.000000,916249,117.398487,294.918012,1ba1bbf0
0.0005,5.00,0.1,0.02,6007,70013,mechanism,28005.18,21899,1693.696667,0.245107,0,1,21899,2564.180000,479671,119.962892,322.052097,b16129f9
0.0005,5.00,0.1,0.02,6008,70013,mechanism,28005.18,70013,573.210000,0.741875,0,0,NA,3954.000000,867242,108.508854,253.414353,6b518b4c
0.0005,5.00,0.1,0.02,6009,70013,mechanism,28005.18,22186,1668.256667,0.144966,0,1,22186,4867.013333,932146,120.750909,308.408293,1039eb32
0.0005,5.00,0.1,0.02,6010,70013,mechanism,28005.18,23357,1844.486667,0.093601,0,1,23357,4808.000000,917154,118.207714,330.785996,28190525
