phi,ratio,theta,sigma_s,k_star,seed,horizon,stopped_at,copies_per_genome,silenced_fraction,outcome,extinct,saturated,entries_per_genome,max_genomes_with_repertoire,saw_nonzero_entry,hash,stopped_at_600,copies_per_genome_600,silenced_fraction_600,outcome_600,extinct_600,saturated_600,entries_per_genome_600,max_genomes_with_repertoire_600,saw_nonzero_entry_600,hash_600,saturation_generation,extinction_generation,captures,mean_displacement,mean_abs_s,max_abs_entry
0,3.33,0.1,0.03,11,2009,600,600,256.75,0.9474586173320351,CONTROLLED,0,0,142.15,300,1,51931129,600,256.75,0.9474586173320351,CONTROLLED,0,0,142.15,300,1,51931129,NA,NA,40931,0,5.09475032914729,10.3727442171285
0,3.33,0.1,0.03,11,2010,600,600,253.59666666666666,0.9403646209860803,CONTROLLED,0,0,148.09333333333333,300,1,4830502d,600,253.59666666666666,0.9403646209860803,CONTROLLED,0,0,148.09333333333333,300,1,4830502d,NA,NA,41395,0,5.127214560974017,10.541479247571914
0,5.00,0.1,0.02,25,2001,600,600,190.41666666666666,0.9489715536105033,CONTROLLED,0,0,96.45666666666666,300,1,1dd534fd,600,190.41666666666666,0.9489715536105033,CONTROLLED,0,0,96.45666666666666,300,1,1dd534fd,NA,NA,28633,0,3.36295215229408,6.859293667930351
0,5.00,0.1,0.02,25,2002,600,600,189.97333333333333,0.9555551656372824,CONTROLLED,0,0,84.07333333333334,300,1,989ffa4e,600,189.97333333333333,0.9555551656372824,CONTROLLED,0,0,84.07333333333334,300,1,989ffa4e,NA,NA,24843,0,2.8876821358343845,5.94802300572953
0,5.00,0.1,0.02,25,2003,600,600,192.40333333333334,0.9469863654475841,CONTROLLED,0,0,93.02,300,1,c87d9464,600,192.40333333333334,0.9469863654475841,CONTROLLED,0,0,93.02,300,1,c87d9464,NA,NA,26648,0,3.164430113055058,6.528204784376184
0,5.00,0.1,0.02,25,2004,600,600,202.87666666666667,0.940094967385768,CONTROLLED,0,0,102.13333333333334,300,1,5f310467,600,202.87666666666667,0.940094967385768,CONTROLLED,0,0,102.13333333333334,300,1,5f310467,NA,NA,29776,0,3.5235482216421348,7.402665091888595
0,5.00,0.1,0.02,25,2005,600,600,208.06333333333333,0.9312388855957321,CONTROLLED,0,0,84.09,300,1,3ecd7521,600,208.06333333333333,0.9312388855957321,CONTROLLED,0,0,84.09,300,1,3ecd7521,NA,NA,24588,0,2.932250526092951,6.180059260775877
0,5.00,0.1,0.02,25,2006,600,600,203.30333333333334,0.9585512616615566,CONTROLLED,0,0,91.66666666666667,300,1,59a40acf,600,203.30333333333334,0.9585512616615566,CONTROLLED,0,0,91.66666666666667,300,1,59a40acf,NA,NA,26647,0,3.0909448102140398,6.867558041856541
0,5.00,0.1,0.02,25,2007,600,600,197,0.9528595600676819,CONTROLLED,0,0,82.76333333333334,300,1,e4f24325,600,197,0.9528595600676819,CONTROLLED,0,0,82.76333333333334,300,1,e4f24325,NA,NA,23525,0,2.849259653385234,5.876499929133742
0,5.00,0.1,0.02,25,2008,600,600,192.21,0.9689575637757314,CONTROLLED,0,0,87.14666666666666,300,1,6843bdb2,600,192.21,0.9689575637757314,CONTROLLED,0,0,87.14666666666666,300,1,6843bdb2,NA,NA,24730,0,2.9704184657127666,6.077613774842915
0,5.00,0.1,0.02,25,2009,600,600,203.23333333333332,0.9479252091192389,CONTROLLED,0,0,79.51333333333334,300,1,93dfc9fc,600,203.23333333333332,0.9479252091192389,CONTROLLED,0,0,79.51333333333334,300,1,93dfc9fc,NA,NA,23527,0,2.794825078029582,5.834095157451782
0,5.00,0.1,0.02,25,2010,600,600,195.85333333333332,0.9629484648376336,CONTROLLED,0,0,59.4,300,1,6ee1cd85,600,195.85333333333332,0.9629484648376336,CONTROLLED,0,0,59.4,300,1,6ee1cd85,NA,NA,17341,0,2.0825301283506206,4.532248750386104
0.125,2.00,0.1,0.05,4,2001,600,147,1508.2966666666666,0.39490904751275724,RUNAWAY,0,1,39,300,1,1fcb32de,147,1508.2966666666666,0.39490904751275724,RUNAWAY,0,1,39,300,1,1fcb32de,147,NA,8381,0.16405249143734288,1.3124199314987433,3.012829534175494
0.125,2.00,0.1,0.05,4,2002,600,153,1597.0333333333333,0.18447329423305714,RUNAWAY,0,1,33,300,1,ae4c2209,153,1597.0333333333333,0.18447329423305714,RUNAWAY,0,1,33,300,1,ae4c2209,153,NA,7815,0.14748353142405218,1.1798682513924172,3.034537321101097
0.125,2.00,0.1,0.05,4,2003,600,182,1589.5066666666667,0.3133634754598911,RUNAWAY,0,1,41.03333333333333,300,1,ef51d78d,182,1589.5066666666667,0.3133634754598911,RUNAWAY,0,1,41.03333333333333,300,1,ef51d78d,182,NA,8795,0.16424161111205618,1.3139328888964499,2.925012189625028
0.125,2.00,0.1,0.05,4,2004,600,186,1668.3166666666666,0.3600235766591075,RUNAWAY,0,1,37.903333333333336,300,1,12d8e529,186,1668.3166666666666,0.3600235766591075,RUNAWAY,0,1,37.903333333333336,300,1,12d8e529,186,NA,8602,0.16699172956419686,1.3359338365135751,2.92223685174245
0.125,2.00,0.1,0.05,4,2005,600,190,1576.5966666666666,0.3868374705853748,RUNAWAY,0,1,43.193333333333335,300,1,4fe623d2,190,1576.5966666666666,0.3868374705853748,RUNAWAY,0,1,43.193333333333335,300,1,4fe623d2,190,NA,9930,0.1915813324676988,1.5326506597415905,3.4599638512638533
0.125,2.00,0.1,0.05,4,2006,600,172,1546.6033333333332,0.17753528700528687,RUNAWAY,0,1,36.04333333333334,300,1,8a3a0a5b,172,1546.6033333333332,0.17753528700528687,RUNAWAY,0,1,36.04333333333334,300,1,8a3a0a5b,172,NA,8611,0.16965339632624646,1.3572271706099714,2.909192910516427
0.125,2.00,0.1,0.05,4,2007,600,175,1596.8866666666668,0.45354293562891124,RUNAWAY,0,1,39.66,300,1,445393b4,175,1596.8866666666668,0.45354293562891124,RUNAWAY,0,1,39.66,300,1,445393b4,175,NA,8241,0.1558306848228594,1.2466454785828756,2.747437978292973
0.125,2.00,0.1,0.05,4,2008,600,168,1704.82,0.1260563187511487,RUNAWAY,0,1,38.00666666666667,300,1,d797e28e,168,1704.82,0.1260563187511487,RUNAWAY,0,1,38.00666666666667,300,1,d797e28e,168,NA,9239,0.17492049091103848,1.3993639272883074,3.345145978781117
0.125,2.00,0.1,0.05,4,2009,600,176,1723.8766666666668,0.3390845826170859,RUNAWAY,0,1,40.903333333333336,300,1,f58d21f5,176,1723.8766666666668,0.3390845826170859,RUNAWAY,0,1,40.903333333333336,300,1,f58d21f5,176,NA,8929,0.17041181088166193,1.363294487053295,2.9129640158336327
0.125,2.00,0.1,0.05,4,2010,600,164,1640.29,0.13856492855938077,RUNAWAY,0,1,37.016666666666666,300,1,f9169b78,164,1640.29,0.13856492855938077,RUNAWAY,0,1,37.016666666666666,300,1,f9169b78,164,NA,8486,0.15743512636866736,1.2594810109493393,3.012755590012788
0.125,3.33,0.1,0.03,11,2001,600,165,1511.0233333333333,0.1410170149589572,RUNAWAY,0,1,24.03,300,1,5994c1c5,165,1511.0233333333333,0.1410170149589572,RUNAWAY,0,1,24.03,300,1,5994c1c5,165,NA,4797,0.09068160914021624,0.7254528731217299,2.376723671629175
0.125,3.33,0.1,0.03,11,2002,600,176,1833.2466666666667,0.2406386483724685,RUNAWAY,0,1,19.226666666666667,300,1,950a6bba,176,1833.2466666666667,0.2406386483724685,RUNAWAY,0,1,19.226666666666667,300,1,950a6bba,176,NA,4422,0.08166675655061727,0.6533340524049384,2.162699647858055
0.125,3.33,0.1,0.03,11,2003,600,178,1580.1,0.12173280172141003,RUNAWAY,0,1,24.003333333333334,300,1,c5661fd6,178,1580.1,0.12173280172141003,RUNAWAY,0,1,24.003333333333334,300,1,c5661fd6,178,NA,4836,0.088413998940238,0.7073119915219045,2.135749548724231
0.125,3.33,0.1,0.03,11,2004,600,190,1543.4966666666667,0.14018818742724853,RUNAWAY,0,1,27,300,1,6638b201,190,1543.4966666666667,0.14018818742724853,RUNAWAY,0,1,27,300,1,6638b201,190,NA,5312,0.1003885371220929,0.8031082969767435,1.849417741165647
0.125,3.33,0.1,0.03,11,2005,600,164,1580.1966666666667,0.1773365762489479,RUNAWAY,0,1,21.15,300,1,c7544f8f,164,1580.1966666666667,0.1773365762489479,RUNAWAY,0,1,21.15,300,1,c7544f8f,164,NA,4943,0.0905570603154927,0.7244564825239413,1.8483304918903727
0.125,3.33,0.1,0.03,11,2006,600,154,1681.21,0.1205401665070594,RUNAWAY,0,1,26,300,1,9345d16d,154,1681.21,0.1205401665070594,RUNAWAY,0,1,26,300,1,9345d16d,154,NA,5261,0.09660983327701471,0.7728786662161176,1.9145500702395473
0.125,3.33,0.1,0.03,11,2007,600,179,1537.16,0.24077736431687874,RUNAWAY,0,1,27.003333333333334,300,1,a796dc2f,179,1537.16,0.24077736431687874,RUNAWAY,0,1,27.003333333333334,300,1,a796dc2f,179,NA,5049,0.09307806309732067,0.744624504778565,1.811819612927089
0.125,3.33,0.1,0.03,11,2008,600,188,1539.12,0.11037692534262003,RUNAWAY,0,1,23.013333333333332,300,1,9cfca9a5,188,1539.12,0.11037692534262003,RUNAWAY,0,1,23.013333333333332,300,1,9cfca9a5,188,NA,5198,0.09307668838379222,0.7446135070703378,2.056931617566431
0.125,3.33,0.1,0.03,11,2009,600,161,1685.0666666666666,0.2675423326475708,RUNAWAY,0,1,20.02,300,1,fa6aa4bc,161,1685.0666666666666,0.2675423326475708,RUNAWAY,0,1,20.02,300,1,fa6aa4bc,161,NA,4806,0.08844862804811403,0.7075890243849118,2.0024250468040647
0.125,3.33,0.1,0.03,11,2010,600,177,1864.4633333333334,0.16715980827369448,RUNAWAY,0,1,24.013333333333332,300,1,b5681eef,177,1864.4633333333334,0.16715980827369448,RUNAWAY,0,1,24.013333333333332,300,1,b5681eef,177,NA,4699,0.09012517734191361,0.7210014187353088,2.3292362284648767
0.125,5.00,0.1,0.02,25,2001,600,236,1590.0733333333333,0.11973661592127827,RUNAWAY,0,1,20,300,1,00be7cdb,236,1590.0733333333333,0.11973661592127827,RUNAWAY,0,1,20,300,1,00be7cdb,236,NA,3576,0.06371042473307265,0.5096833978645811,1.586627921126121
0.125,5.00,0.1,0.02,25,2002,600,225,1619.6466666666668,0.0852428719021021,RUNAWAY,0,1,21.003333333333334,300,1,600677b8,225,1619.6466666666668,0.0852428719021021,RUNAWAY,0,1,21.003333333333334,300,1,600677b8,225,NA,4162,0.06938889717676308,0.5551111774141047,1.4753673587636627
0.125,5.00,0.1,0.02,25,2003,600,235,1796.52,0.22217398080733863,RUNAWAY,0,1,21.966666666666665,300,1,ec1536f6,235,1796.52,0.22217398080733863,RUNAWAY,0,1,21.966666666666665,300,1,ec1536f6,235,NA,4111,0.07331796490434128,0.5865437192347301,1.5984740139039373
0.125,5.00,0.1,0.02,25,2004,600,217,1788.7433333333333,0.10293259886363425,RUNAWAY,0,1,20,300,1,e6767a4f,217,1788.7433333333333,0.10293259886363425,RUNAWAY,0,1,20,300,1,e6767a4f,217,NA,4091,0.07021279200583684,0.5617023360466945,1.378211003514017
0.125,5.00,0.1,0.02,25,2005,600,247,1656.4133333333334,0.11420861137719249,RUNAWAY,0,1,23,300,1,d53b7e43,247,1656.4133333333334,0.11420861137719249,RUNAWAY,0,1,23,300,1,d53b7e43,247,NA,4075,0.07163449423871986,0.5730759539097587,1.5633062501028303
0.125,5.00,0.1,0.02,25,2006,600,204,1631.4366666666667,0.1532963788562637,RUNAWAY,0,1,15.236666666666666,300,1,9c1e4344,204,1631.4366666666667,0.1532963788562637,RUNAWAY,0,1,15.236666666666666,300,1,9c1e4344,204,NA,3342,0.060103981349461405,0.4808318507956915,1.2914772497022025
0.125,5.00,0.1,0.02,25,2007,600,234,1875.4566666666667,0.089869667298809,RUNAWAY,0,1,23.02,300,1,a35dc3c8,234,1875.4566666666667,0.089869667298809,RUNAWAY,0,1,23.02,300,1,a35dc3c8,234,NA,4335,0.07323653927340354,0.5858923141872283,1.620321595220231
0.125,5.00,0.1,0.02,25,2008,600,193,1570.1933333333334,0.07274475754577993,RUNAWAY,0,1,17,300,1,52ded133,193,1570.1933333333334,0.07274475754577993,RUNAWAY,0,1,17,300,1,52ded133,193,NA,3702,0.0618253234210874,0.49460258736869916,1.5234017684422176
0.125,5.00,0.1,0.02,25,2009,600,232,1547.88,0.13464222032715714,RUNAWAY,0,1,22,300,1,77bb394c,232,1547.88,0.13464222032715714,RUNAWAY,0,1,22,300,1,77bb394c,232,NA,4200,0.06891290483548038,0.5513032386838428,1.5371263890406262
0.125,5.00,0.1,0.02,25,2010,600,217,1518.6133333333332,0.12660672894570485,RUNAWAY,0,1,21.016666666666666,300,1,317c8218,217,1518.6133333333332,0.12660672894570485,RUNAWAY,0,1,21.016666666666666,300,1,317c8218,217,NA,4331,0.07015805829905232,0.5612644663924187,1.4351011076614018
