phi,ratio,theta,sigma_s,k_star,seed,horizon,predicted_t_sat,stopped_at,copies_per_genome,silenced_fraction,outcome,extinct,saturated,entries_per_genome,max_genomes_with_repertoire,saw_nonzero_entry,hash,stopped_at_600,copies_per_genome_600,silenced_fraction_600,outcome_600,extinct_600,saturated_600,entries_per_genome_600,max_genomes_with_repertoire_600,saw_nonzero_entry_600,hash_600,stopped_at_1800,copies_per_genome_1800,silenced_fraction_1800,outcome_1800,extinct_1800,saturated_1800,entries_per_genome_1800,max_genomes_with_repertoire_1800,saw_nonzero_entry_1800,hash_1800,saturation_generation,extinction_generation,captures,mean_displacement,mean_abs_s,max_abs_entry
0.004,2.00,0.1,0.05,4,3010,1800,1987.541691325628,1800,547.7766666666666,0.5675670741725642,CONTROLLED,0,0,817.1566666666666,300,1,f319d40e,600,419.5,0.8849900675407231,CONTROLLED,0,0,232.64666666666668,300,1,f9b39973,1800,547.7766666666666,0.5675670741725642,CONTROLLED,0,0,817.1566666666666,300,1,f319d40e,NA,NA,201087,0.11056152259001634,27.640380647503758,61.48383765630581
0.004,3.33,0.1,0.03,11,3001,1800,2257.2116127498302,1800,454.55,0.7876947897187695,CONTROLLED,0,0,534.4266666666666,300,1,3dfb78f0,600,314.3566666666667,0.9308428854697954,CONTROLLED,0,0,150.42,300,1,8278f408,1800,454.55,0.7876947897187695,CONTROLLED,0,0,534.4266666666666,300,1,3dfb78f0,NA,NA,131008,0.06743204364124154,16.858010910310526,37.21265408341466
0.004,3.33,0.1,0.03,11,3002,1800,2257.2116127498302,1800,474.37,0.8419025936153917,CONTROLLED,0,0,518.7466666666667,300,1,a3b8a9c3,600,332.0366666666667,0.9286725361656845,CONTROLLED,0,0,141.90333333333334,300,1,ac92b514,1800,474.37,0.8419025936153917,CONTROLLED,0,0,518.7466666666667,300,1,a3b8a9c3,NA,NA,127473,0.0660153937651141,16.50384844127862,35.99362055643128
0.004,3.33,0.1,0.03,11,3003,1800,2257.2116127498302,1800,505.1,0.8034976572295915,CONTROLLED,0,0,531.0033333333333,300,1,012e0804,600,312.32,0.916229081284153,CONTROLLED,0,0,152.54666666666665,300,1,d8fe8732,1800,505.1,0.8034976572295915,CONTROLLED,0,0,531.0033333333333,300,1,012e0804,NA,NA,127850,0.06631129390916068,16.57782347729027,36.65048228823588
0.004,3.33,0.1,0.03,11,3004,1800,2257.2116127498302,1800,574.8433333333334,0.6637808562332925,CONTROLLED,0,0,525.4133333333333,300,1,93dc86c6,600,315,0.936952380952381,CONTROLLED,0,0,137.28666666666666,300,1,6fe32aca,1800,574.8433333333334,0.6637808562332925,CONTROLLED,0,0,525.4133333333333,300,1,93dc86c6,NA,NA,126142,0.06469850928292678,16.174627320731517,36.531196308943265
0.004,3.33,0.1,0.03,11,3005,1800,2257.2116127498302,1800,506.8933333333333,0.7879106715416787,CONTROLLED,0,0,525.1133333333333,300,1,2f435251,600,301.6066666666667,0.9226254945735063,CONTROLLED,0,0,141.96,300,1,835afe94,1800,506.8933333333333,0.7879106715416787,CONTROLLED,0,0,525.1133333333333,300,1,2f435251,NA,NA,127575,0.06602720659393727,16.506801648484526,36.94104276708121
0.004,3.33,0.1,0.03,11,3006,1800,2257.2116127498302,1800,495.13,0.7553369822066932,CONTROLLED,0,0,524.97,300,1,d8e047d3,600,318.64,0.9317725332663821,CONTROLLED,0,0,148.57333333333332,300,1,e85286bb,1800,495.13,0.7553369822066932,CONTROLLED,0,0,524.97,300,1,d8e047d3,NA,NA,130283,0.06713201889324358,16.783004723310754,38.01637282188822
0.004,3.33,0.1,0.03,11,3007,1800,2257.2116127498302,1800,602.6966666666667,0.6711225658014811,CONTROLLED,0,0,530.3333333333334,300,1,7992a956,600,335.88666666666666,0.9109818788083283,CONTROLLED,0,0,146.6,300,1,7cc93210,1800,602.6966666666667,0.6711225658014811,CONTROLLED,0,0,530.3333333333334,300,1,7992a956,NA,NA,129998,0.06702068390563319,16.75517097640812,36.86493198661409
0.004,3.33,0.1,0.03,11,3008,1800,2257.2116127498302,1800,501.76,0.8003162202380952,CONTROLLED,0,0,517.8166666666667,300,1,cef5e637,600,315.7733333333333,0.915012878436009,CONTROLLED,0,0,138.76,300,1,521551a3,1800,501.76,0.8003162202380952,CONTROLLED,0,0,517.8166666666667,300,1,cef5e637,NA,NA,126922,0.06600351983499884,16.50087995874957,36.573810447908684
0.004,3.33,0.1,0.03,11,3009,1800,2257.2116127498302,1800,518.0833333333334,0.7235258163101174,CONTROLLED,0,0,518.3533333333334,300,1,6dd4ce5f,600,317.97,0.9369961526768773,CONTROLLED,0,0,133.45,300,1,f55a3593,1800,518.0833333333334,0.7235258163101174,CONTROLLED,0,0,518.3533333333334,300,1,6dd4ce5f,NA,NA,126683,0.06554219597310311,16.385548993275503,35.75688391209413
0.004,3.33,0.1,0.03,11,3010,1800,2257.2116127498302,1800,637.7933333333333,0.6890319748298822,CONTROLLED,0,0,526.87,300,1,052502d5,600,312.96,0.9203093047034765,CONTROLLED,0,0,139.32666666666665,300,1,82bc9b4d,1800,637.7933333333333,0.6890319748298822,CONTROLLED,0,0,526.87,300,1,052502d5,NA,NA,127438,0.06632558955414634,16.58139738853711,36.28969616659098
0.004,5.00,0.1,0.02,25,3001,1800,2658.1622160671636,1800,420.75,0.8696454743513568,CONTROLLED,0,0,349.39666666666665,300,1,bce231ad,600,240.79333333333332,0.9489188515739638,CONTROLLED,0,0,83.63666666666667,300,1,b8f9efc9,1800,420.75,0.8696454743513568,CONTROLLED,0,0,349.39666666666665,300,1,bce231ad,NA,NA,88717,0.04278447571344705,10.696118928361686,23.02687878317038
0.004,5.00,0.1,0.02,25,3002,1800,2658.1622160671636,1800,452.29333333333335,0.8211042980956311,CONTROLLED,0,0,352.89,300,1,afba22de,600,249.61666666666667,0.9232556586766375,CONTROLLED,0,0,89.36,300,1,ec62003d,1800,452.29333333333335,0.8211042980956311,CONTROLLED,0,0,352.89,300,1,afba22de,NA,NA,90695,0.04374526195960133,10.93631548990033,23.66471238020166
0.004,5.00,0.1,0.02,25,3003,1800,2658.1622160671636,1800,431.73,0.8684594538253075,CONTROLLED,0,0,352.86,300,1,c4b1c5e2,600,250.43,0.932263174007374,CONTROLLED,0,0,91.08666666666667,300,1,8aece3b7,1800,431.73,0.8684594538253075,CONTROLLED,0,0,352.86,300,1,c4b1c5e2,NA,NA,90110,0.043219816969037476,10.804954242259306,23.18476026717077
0.004,5.00,0.1,0.02,25,3004,1800,2658.1622160671636,1800,339.4766666666667,0.9388961440648842,CONTROLLED,0,0,185.73,300,1,8c6cae9a,600,165.54333333333332,0.9449288202484747,CONTROLLED,0,0,45.87,300,1,4dd21618,1800,339.4766666666667,0.9388961440648842,CONTROLLED,0,0,185.73,300,1,8c6cae9a,NA,NA,47689,0.04462304022474021,11.155760056185017,23.505719107646595
0.004,5.00,0.1,0.02,25,3005,1800,2658.1622160671636,1800,413.14666666666665,0.8229523010391789,CONTROLLED,0,0,349.21,300,1,05e84c8e,600,250.62333333333333,0.9387527099099578,CONTROLLED,0,0,85.83666666666667,300,1,838a1b1f,1800,413.14666666666665,0.8229523010391789,CONTROLLED,0,0,349.21,300,1,05e84c8e,NA,NA,89278,0.042959499820914224,10.739874955228547,22.87218844576153
0.004,5.00,0.1,0.02,25,3006,1800,2658.1622160671636,1800,388.14,0.8540560965974476,CONTROLLED,0,0,355.3833333333333,300,1,c38f072f,600,248.73333333333332,0.9249798981506299,CONTROLLED,0,0,92.81,300,1,71cf3896,1800,388.14,0.8540560965974476,CONTROLLED,0,0,355.3833333333333,300,1,c38f072f,NA,NA,90224,0.0437228414158766,10.930710353969255,23.74528245054076
0.004,5.00,0.1,0.02,25,3007,1800,2658.1622160671636,1800,430.17333333333335,0.8460078108049468,CONTROLLED,0,0,357.48,300,1,d9f01d27,600,249.93333333333334,0.9565884235796213,CONTROLLED,0,0,88.21,300,1,9e214ed1,1800,430.17333333333335,0.8460078108049468,CONTROLLED,0,0,357.48,300,1,d9f01d27,NA,NA,89753,0.04316623981008117,10.791559952520283,23.859269526007893
0.004,5.00,0.1,0.02,25,3008,1800,2658.1622160671636,1800,430.10333333333335,0.8355898970014958,CONTROLLED,0,0,368.05333333333334,300,1,9f851f62,600,259.1566666666667,0.9416440505742987,CONTROLLED,0,0,102.49,300,1,486a0b14,1800,430.10333333333335,0.8355898970014958,CONTROLLED,0,0,368.05333333333334,300,1,9f851f62,NA,NA,92417,0.04475032582284768,11.187581455711818,24.50939635706205
0.004,5.00,0.1,0.02,25,3009,1800,2658.1622160671636,1800,297.91333333333336,0.8712824758878421,CONTROLLED,0,0,359.97,300,1,5ab1178e,600,248.54333333333332,0.9540388664619182,CONTROLLED,0,0,93.03666666666666,300,1,ce40ea66,1800,297.91333333333336,0.8712824758878421,CONTROLLED,0,0,359.97,300,1,5ab1178e,NA,NA,90540,0.04359757643632752,10.899394109081978,23.7954744336429
0.004,5.00,0.1,0.02,25,3010,1800,2658.1622160671636,1800,426.6433333333333,0.8529060182978757,CONTROLLED,0,0,364.98,300,1,4fb68977,600,235.72,0.9446801289665705,CONTROLLED,0,0,97.63666666666667,300,1,d0e905e7,1800,426.6433333333333,0.8529060182978757,CONTROLLED,0,0,364.98,300,1,4fb68977,NA,NA,91034,0.04434900901237734,11.087252253094212,23.55538656133699
