phi,ratio,theta,sigma_s,k_star,seed,stopped_at,copies_per_genome,silenced_fraction,outcome,extinct,saturated,saturation_generation,extinction_generation,entries_per_genome,max_genomes_with_repertoire,saw_nonzero_entry,ever_had_repertoire,captures,mean_displacement,max_abs_entry,exploratory
0.375,2.00,0.1,0.05,4,2005,118,1508.1766666666667,0.1520931455863924,RUNAWAY,0,1,118,NA,13,300,1,1,2830,0.20284245909494258,0.8987067799573439,1
0.375,2.00,0.1,0.05,4,2006,140,1504.7866666666666,0.09001940474397256,RUNAWAY,0,1,140,NA,13,300,1,1,2827,0.2220969726153593,1.0804406514153304,1
0.375,2.00,0.1,0.05,4,2007,135,1534.98,0.08152114902691457,RUNAWAY,0,1,135,NA,14,300,1,1,3101,0.2586529915113691,1.2208697745840578,1
0.375,2.00,0.1,0.05,4,2008,109,1547.5666666666666,0.06953712279492537,RUNAWAY,0,1,109,NA,14.006666666666666,300,1,1,2638,0.19593070685524888,1.0619241291180403,1
0.375,2.00,0.1,0.05,4,2009,132,1653.2566666666667,0.06727529703998371,RUNAWAY,0,1,132,NA,14,300,1,1,2893,0.22416291883842543,1.0693568579074881,1
0.375,2.00,0.1,0.05,4,2010,113,1587.75,0.08198184013016323,RUNAWAY,0,1,113,NA,15.03,300,1,1,2718,0.2081364598041392,1.1531836351446854,1
0.5,2.00,0.1,0.05,4,2001,129,1545.01,0.04913668304196521,RUNAWAY,0,1,129,NA,9.3,300,1,1,2150,0.2623075408982461,0.7714811164724237,1
0.5,2.00,0.1,0.05,4,2002,141,1508.8033333333333,0.03656761097646921,RUNAWAY,0,1,141,NA,10.086666666666666,300,1,1,2959,0.34741020297750685,0.7476480097872823,1
0.5,2.00,0.1,0.05,4,2003,130,1643.91,0.09776893706670885,RUNAWAY,0,1,130,NA,10,300,1,1,2021,0.23532941251637488,0.795821149664118,1
0.5,2.00,0.1,0.05,4,2004,123,1612.44,0.07338567636625239,RUNAWAY,0,1,123,NA,11.5,300,1,1,3116,0.3981196992337831,0.7838070417382712,1
0.5,2.00,0.1,0.05,4,2005,130,1609.0666666666666,0.05727336758369241,RUNAWAY,0,1,130,NA,7,300,1,1,2348,0.27077616931612986,0.6685319573654774,1
0.5,2.00,0.1,0.05,4,2006,129,1658.7133333333334,0.12318986202156691,RUNAWAY,0,1,129,NA,11,300,1,1,2136,0.2906513466343011,0.7382961857101361,1
0.5,2.00,0.1,0.05,4,2007,123,1557.4033333333334,0.11079553359116992,RUNAWAY,0,1,123,NA,9,300,1,1,1891,0.22198900149319448,0.837411245907501,1
0.5,2.00,0.1,0.05,4,2008,126,1514.62,0.17220380909623095,RUNAWAY,0,1,126,NA,9.72,300,1,1,2714,0.3053116201548387,0.8992389374189468,1
0.5,2.00,0.1,0.05,4,2009,147,1615.9066666666668,0.1154934690947497,RUNAWAY,0,1,147,NA,11.006666666666666,300,1,1,2270,0.306179991140456,0.947860569985218,1
0.5,2.00,0.1,0.05,4,2010,98,1510.27,0.0588415757888766,RUNAWAY,0,1,98,NA,8.006666666666666,300,1,1,1846,0.21939757193167878,0.7378100548561787,1
0.625,2.00,0.1,0.05,4,2001,118,1665.92,0.047059082468946085,RUNAWAY,0,1,118,NA,6.886666666666667,300,1,1,1551,0.3041231997645123,0.518779897767503,1
0.625,2.00,0.1,0.05,4,2002,124,1556.85,0.057218100651957475,RUNAWAY,0,1,124,NA,7,300,1,1,1825,0.3625699506996356,0.46597149442996766,1
0.625,2.00,0.1,0.05,4,2003,103,1570.7333333333333,0.05417214889011502,RUNAWAY,0,1,103,NA,7,300,1,1,1522,0.293916651264938,0.42821907203903137,1
0.625,2.00,0.1,0.05,4,2004,115,1503.51,0.02107734567778066,RUNAWAY,0,1,115,NA,5.06,300,1,1,1257,0.24819867350978236,0.47662610126477517,1
0.625,2.00,0.1,0.05,4,2005,140,1706.39,0.04358909745134465,RUNAWAY,0,1,140,NA,7.003333333333333,300,1,1,1689,0.362229430366181,0.5846761955958679,1
0.625,2.00,0.1,0.05,4,2006,132,1577.3433333333332,0.044403775969298585,RUNAWAY,0,1,132,NA,7.013333333333334,300,1,1,1506,0.26999911738099674,0.48939214506071604,1
0.625,2.00,0.1,0.05,4,2007,101,1535.4033333333334,0.11185334580924447,RUNAWAY,0,1,101,NA,7,300,1,1,1353,0.26623092875860155,0.43139697123563225,1
0.625,2.00,0.1,0.05,4,2008,109,1557.3566666666666,0.08009083768008612,RUNAWAY,0,1,109,NA,8,300,1,1,1482,0.2816809880653348,0.4484040644356372,1
0.625,2.00,0.1,0.05,4,2009,140,1521.7733333333333,0.02531695478082588,RUNAWAY,0,1,140,NA,7.166666666666667,300,1,1,1793,0.37618001550548413,0.6355377177507743,1
0.625,2.00,0.1,0.05,4,2010,127,1596.3633333333332,0.028627568076607456,RUNAWAY,0,1,127,NA,6.043333333333333,300,1,1,1393,0.2798150724713032,0.588646054049976,1
0.75,2.00,0.1,0.05,4,2001,132,1507.5633333333333,0.022650236916525342,RUNAWAY,0,1,132,NA,4.02,300,1,1,978,0.3585926927967004,0.2588228224015079,1
0.75,2.00,0.1,0.05,4,2002,126,1539.55,0.11013607872430256,RUNAWAY,0,1,126,NA,4.71,300,1,1,1126,0.4075606279762252,0.38627134167904537,1
0.75,2.00,0.1,0.05,4,2003,151,1590.55,0.032517053849297414,RUNAWAY,0,1,151,NA,4,300,1,1,864,0.27098923437752626,0.26176946696121156,1
0.75,2.00,0.1,0.05,4,2004,115,1575.64,0.05264950538617112,RUNAWAY,0,1,115,NA,4,300,1,1,1300,0.40321227993125053,0.26156067829499735,1
0.75,2.00,0.1,0.05,4,2005,124,1538.2166666666667,0.027523214111579427,RUNAWAY,0,1,124,NA,4,300,1,1,829,0.24746752595733523,0.28431455387098464,1
